Classifier,Fold,Accuracy,Precision (B),Precision (M),Recall (B),Recall (M),F-score (B),F-score (M),Cross-validation score,Average cross-validation score
Gaussian Naïve-Bayes,6,0.9649122807017544,0.97142857,0.95454545,0.97142857,0.95454545,0.97142857,0.95454545,0.9040723981900453,0.8983785822021118
Gaussian Naïve-Bayes,7,0.9649122807017544,0.97142857,0.95454545,0.97142857,0.95454545,0.97142857,0.95454545,0.9040723981900453,0.8964555052790347
Gaussian Naïve-Bayes,8,0.9649122807017544,0.97142857,0.95454545,0.97142857,0.95454545,0.97142857,0.95454545,0.9040723981900453,0.8924585218702866
Gaussian Naïve-Bayes,9,0.9649122807017544,0.97142857,0.95454545,0.97142857,0.95454545,0.97142857,0.95454545,0.9040723981900453,0.906372549019608
Gaussian Naïve-Bayes,10,0.9649122807017544,0.97142857,0.95454545,0.97142857,0.95454545,0.97142857,0.95454545,0.9040723981900453,0.9040723981900453
XGBoost Classifier,1,0.8823529411764706,0.90625,0.84210526,0.90625,0.84210526,0.90625,0.84210526,0.9567067530064757,0.9565217391304348
XGBoost Classifier,2,0.8823529411764706,0.90625,0.84210526,0.90625,0.84210526,0.90625,0.84210526,0.9567067530064757,0.941304347826087
XGBoost Classifier,3,0.8823529411764706,0.90625,0.84210526,0.90625,0.84210526,0.90625,0.84210526,0.9567067530064757,0.9479648473635522
XGBoost Classifier,4,0.8823529411764706,0.90625,0.84210526,0.90625,0.84210526,0.90625,0.84210526,0.9567067530064757,0.95
XGBoost Classifier,5,0.8823529411764706,0.90625,0.84210526,0.90625,0.84210526,0.90625,0.84210526,0.9567067530064757,0.9500925069380202
XGBoost Classifier,6,0.8823529411764706,0.90625,0.84210526,0.90625,0.84210526,0.90625,0.84210526,0.9567067530064757,0.9609158186864015
XGBoost Classifier,7,0.8823529411764706,0.90625,0.84210526,0.90625,0.84210526,0.90625,0.84210526,0.9567067530064757,0.9435707678075855
XGBoost Classifier,8,0.8823529411764706,0.90625,0.84210526,0.90625,0.84210526,0.90625,0.84210526,0.9567067530064757,0.9609620721554117
XGBoost Classifier,9,0.8823529411764706,0.90625,0.84210526,0.90625,0.84210526,0.90625,0.84210526,0.9567067530064757,0.9610545790934321
XGBoost Classifier,10,0.8823529411764706,0.90625,0.84210526,0.90625,0.84210526,0.90625,0.84210526,0.9567067530064757,0.9567067530064757
