Classifier,Fold,Accuracy,Precision (P),Precision (N),Recall (P),Recall (N),F-score (P),F-score (N),CV Score,Average CV Score,New CV score (1),New CV score (2),New CV score (3),New CV score (4),New CV score (5),New CV score (6),New CV score (7),New CV score (8),New CV score (9),New CV score (10)
Gaussian Naïve-Bayes,10,0.6363636363636364,0.6,1,1,0.2,0.75,0.33333333,0.5555555555555556,0.6222222222222222,0.6,0.6,0.8,0.77777778,0.44444444,0.66666667,0.55555556,0.77777778,0.44444444,0.55555556
XGBoost Classifier,1,0.6666666666666666,0.66666667,0.66666667,0.5,0.8,0.57142857,0.57142857,0.7236111111111111,0.7236111111111111,0.77777778,0.66666667,0.66666667,0.75,0.75,0.5,0.5,1,0.875,0.75
XGBoost Classifier,2,0.6666666666666666,0.66666667,0.66666667,0.5,0.8,0.57142857,0.57142857,0.7277777777777777,0.7277777777777777,0.44444444,0.55555556,0.77777778,0.875,0.625,0.75,0.75,1,0.75,0.75
XGBoost Classifier,3,0.6666666666666666,0.66666667,0.66666667,0.5,0.8,0.57142857,0.57142857,0.7722222222222223,0.7722222222222223,0.77777778,0.66666667,0.77777778,1,1,0.625,0.5,0.875,0.75,0.75
XGBoost Classifier,4,0.6666666666666666,0.66666667,0.66666667,0.5,0.8,0.57142857,0.57142857,0.7069444444444445,0.7069444444444445,0.55555556,0.55555556,0.66666667,0.66666667,0.75,1,0.375,1,0.75,0.75
XGBoost Classifier,5,0.6666666666666666,0.66666667,0.66666667,0.5,0.8,0.57142857,0.57142857,0.7958333333333333,0.7958333333333333,0.66666667,0.88888889,0.77777778,1,0.625,0.875,0.5,1,1,0.625
XGBoost Classifier,6,0.6666666666666666,0.66666667,0.66666667,0.5,0.8,0.57142857,0.57142857,0.7666666666666666,0.7666666666666666,0.88888889,0.66666667,0.44444444,0.66666667,0.875,1,0.5,1,0.875,0.75
XGBoost Classifier,7,0.6666666666666666,0.66666667,0.66666667,0.5,0.8,0.57142857,0.57142857,0.725,0.725,0.77777778,0.66666667,0.66666667,0.88888889,0.625,0.625,0.625,0.75,0.875,0.75
XGBoost Classifier,8,0.6666666666666666,0.66666667,0.66666667,0.5,0.8,0.57142857,0.57142857,0.7291666666666667,0.7291666666666667,0.88888889,0.55555556,0.44444444,0.77777778,0.75,0.75,0.875,1,0.75,0.5
XGBoost Classifier,9,0.6666666666666666,0.66666667,0.66666667,0.5,0.8,0.57142857,0.57142857,0.7180555555555556,0.7180555555555556,0.55555556,0.55555556,0.55555556,0.88888889,0.875,0.625,0.75,0.875,0.875,0.625
XGBoost Classifier,10,0.6666666666666666,0.66666667,0.66666667,0.5,0.8,0.57142857,0.57142857,0.7305555555555555,0.7305555555555555,0.44444444,0.44444444,0.88888889,0.77777778,0.875,0.625,0.625,1,0.75,0.875
